date,usd_jpy,aluminum,copper,nickel,lead,tin,zinc,iron_ore
2025-08-01,147.02000427246094,381.86,1421.62,2197.84,286.2,4974.24,410.06,99.74
2025-09-01,148.59500122070312,394.27,1483.54,2244.62,290.5,5124.14,435.82,103.28
2025-10-01,153.89999389648438,429.86,1652.87,2322.68,302.8,5542.23,485.09,103.53
2025-11-01,156.14999389648438,440.2,1688.3,2290.84,312.06,5771.81,496.06,102.48
2025-12-01,156.41299438476562,449.77,1843.37,2328.05,303.41,6447.27,495.5,104.59
2025-12-08,155.75,434.23,1814.19,362.59,47.26,1004.16,357.76,106.05
2025-12-15,157.7429962158203,452.41,1891.66,367.23,47.86,1017.01,362.34,106.92
2025-12-22,156.55999755859375,457.9,1990.34,364.48,47.5,1009.38,359.62,106.99
2025-12-29,156.7899932861328,460.65,1949.54,365.01,47.57,1010.87,360.15,107.17
2026-01-05,157.87899780273438,479.48,2038.08,367.55,47.9,1017.89,362.65,108.03
2026-01-12,158.17999267578125,480.04,2018.6,368.25,47.99,1019.83,363.34,107.15
2026-01-19,155.7100067138672,482.31,2029.14,362.5,47.24,1003.9,357.67,106.36
2026-01-26,154.74000549316406,469.56,2011.72,360.24,46.95,997.65,355.44,105.62
2026-02-02,157.1999969482422,472.23,2032.09,365.97,47.7,1013.51,361.09,100.11
2026-02-09,152.67999267578125,460.44,1949.76,355.45,46.32,984.37,350.71,99.66
2026-02-16,155.02999877929688,468.46,1992.93,360.92,47.04,999.52,356.1,99.33
2026-02-23,156.02999877929688,474.99,2065.47,363.25,47.34,1005.97,358.4,99.06
2026-03-02,157.77000427246094,524.98,2002.42,367.3,47.87,1017.19,362.4,101.91
2026-03-09,159.72999572753906,540.41,2012.33,371.86,48.46,1029.82,366.9,105.14
2026-03-16,159.24000549316406,493.96,1875.56,370.72,48.32,1026.66,365.77,105.89
2026-03-23,160.28399658203125,510.91,1931.85,373.15,48.63,1033.39,368.17,106.22
2026-03-30,159.6490020751953,544.56,1957.98,371.67,48.44,1029.3,366.71,107.45
2026-04-06,159.25999450683594,546.22,2061.18,370.77,48.32,1026.79,365.82,106.63
2026-04-13,159.30299377441406,570.19,293.65,370.87,48.33,1027.07,78.93,104.59
